id,is_fr,name,type
1,0,Керівництво Верховної Ради України,1
2612,1,"фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",3
2613,1,"фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",3
2614,1,"фракції Політичної партії ""Об'єднання ""САМОПОМІЧ""",3
2615,1,фракції Радикальної партії Олега Ляшка,3
2616,1,"фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",3
2617,1,"фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",3
2619,1,"групи ""Воля народу""",31
2620,0,Комітету Верховної Ради України з питань аграрної політики та земельних відносин,2
2621,0,"Комітету Верховної Ради України з питань будівництва, містобудування і житлово-комунального господарства",2
2622,0,Комітету Верховної Ради України з питань бюджету,2
2623,0,"Комітету Верховної Ради України з питань державного будівництва, регіональної політики та місцевого самоврядування",2
2624,0,"Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",2
2625,0,Комітету Верховної Ради України з питань економічної політики,2
2626,0,Комітету Верховної Ради України з питань європейської інтеграції,2
2627,0,Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності,2
2628,0,Комітету Верховної Ради України з питань запобігання і протидії корупції,2
2629,0,Комітету Верховної Ради України у закордонних справах,2
2630,0,Комітету Верховної Ради України з питань інформатизації та зв'язку,2
2631,0,Комітету Верховної Ради України з питань культури і духовності,2
2632,0,Комітету Верховної Ради України з питань науки і освіти,2
2633,0,Комітету Верховної Ради України з питань національної безпеки і оборони,2
2634,0,Комітету Верховної Ради України з питань охорони здоров'я,2
2635,0,"Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",2
2636,0,Комітету Верховної Ради України з питань податкової та митної політики,2
2637,0,"Комітету Верховної Ради України з питань прав людини, національних меншин і міжнаціональних відносин",2
2638,0,Комітету Верховної Ради України з питань правової політики та правосуддя,2
2639,0,Комітету Верховної Ради України з питань промислової політики та підприємництва,2
2640,0,Комітету Верховної Ради України з питань Регламенту та організації роботи Верховної Ради України,2
2641,0,Комітету Верховної Ради України з питань свободи слова та інформаційної політики,2
2643,0,"Комітету Верховної Ради України з питань соціальної політики, зайнятості та пенсійного забезпечення",2
2645,0,Комітету Верховної Ради України з питань транспорту,2
2646,0,Комітету Верховної Ради України з питань фінансової політики і банківської діяльності,2
2647,0,Спеціальної контрольної комісії Верховної Ради України з питань приватизації,4
2659,0,"підкомітету з питань охорони і раціонального використання надр, водних ресурсів Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2660,0,"підкомітету з питань державного моніторингу навколишнього природного середовища Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2661,0,"підкомітету з питань державної політики у сфері поводження з відходами Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2662,0,"підкомітету з питань подолання наслідків Чорнобильської катастрофи, соціального захисту постраждалих внаслідок Чорнобильської катастрофи Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2663,0,"підкомітету з питань лісових ресурсів, об'єктів тваринного та рослинного світу, природних ландшафтів та об'єктів природно-заповідного фонду Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2664,0,"підкомітету з питань цивільного захисту населення, попередження та ліквідації наслідків надзвичайних ситуацій техногенного або природного характеру Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи",30
2665,0,підкомітету з питань діяльності органів прокуратури Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності,30
2666,0,"підкомітету з питань діяльності органів внутрішніх справ, податкової міліції та інших правоохоронних органів Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності",30
2667,0,підкомітету з питань законодавства про адміністративні правопорушення Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності,30
2669,0,підкомітету з питань боротьби з організованою злочинністю Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності,30
2671,0,підкомітету з питань євроатлантичного співробітництва та євроінтеграції Комітету Верховної Ради України у закордонних справах,30
2672,0,підкомітету з питань законодавчого забезпечення і контролю за діяльністю дипломатичної служби Комітету Верховної Ради України у закордонних справах,30
