id,name
1,Голова Верховної Ради України
2,Перший заступник Голови Верховної Ради України
3,Заступник Голови Верховної Ради України
4,Голова Комітету Верховної Ради України
5,Заступник голови Комітету Верховної Ради України
7,Секретар Комітету Верховної Ради України
8,Член Комітету Верховної Ради України
916,Перший заступник голови Комітету Верховної Ради України
917,Голова підкомітету Комітету Верховної Ради України
918,Член депутатської фракції
920,Член депутатської групи
936,Голова Комісії
937,Перший заступник голови Комісії
938,Заступник голови Комісії
939,Секретар Комісії
940,Член Комісії
1009,Перший заступник голови фракції
1013,Голова депутатської групи
1028,Голова депутатської фракції
1029,Заступник голови депутатської фракції
1033,"Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України"
1034,"Перший заступник голови Комітету, голова підкомітету Комітету Верховної Ради України"
1038,Заступник голови депутатської групи
1041,"Секретар Комітету, голова підкомітету Комітету Верховної Ради України"
1042,Співголова депутатської групи
