id,name
17,"політична партія Всеукраїнське об'єднання ""Батьківщина"""
50,Безпартійний
94,Партія регіонів
104,Українська Народна Партія
117,"політична партія Всеукраїнське об'єднання ""Свобода"""
163,"партія ""ВІДРОДЖЕННЯ"""
170,Народна Партія
192,Політична партія Єдиний Центр
206,Радикальна Партія Олега Ляшка
210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"""
211,"Політична партія ""НАРОДНИЙ ФРОНТ"""
212,"Політична партія ""Об'єднання ""САМОПОМІЧ"""
216,"Політична партія ""Воля"""
218,"Політична партія ""ПРАВИЙ СЕКТОР"""
219,Українська морська партія Сергія Ківалова
220,політична партія Конгрес Українських Націоналістів
224,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ'ЄДНАННЯ ПАТРІОТІВ – УКРОП"""
225,"Політична партія ""Наш край"""
