bp10	Ковальчук Віталій Анатолійович
bp11	Квіт Сергій Миронович
bp12	Князевич Руслан Петрович
bp13	Стець Юрій Ярославович
bp14	Гринів Ігор Олексійович
bp15	Продан Оксана Петрівна
bp16	Новак Наталія Василівна
bp17	Пинзеник Віктор Михайлович
bp18	Заліщук Світлана Петрівна
bp19	Лещенко Сергій Анатолійович
bp2	Луценко Юрій Віталійович
bp20	Найєм Мустафа-Масі
bp21	Черненко Олександр Миколайович
bp22	Павленко Ростислав Миколайович
bp23	Іонова Марія Миколаївна
bp24	Палатний Артур Леонідович
bp25	Романюк Роман Сергійович
bp26	Розенко Павло Валерійович
bp27	Заболотний Григорій Михайлович
bp28	Южаніна Ніна Петрівна
bp29	Кононенко Ігор Віталійович
bp3	Богомолець Ольга Вадимівна
bp30	Фріз Ірина Василівна
bp31	Онуфрик Богдан Семенович
bp32	Матвієнко Анатолій Сергійович
bp33	Павелко Андрій Васильович
bp35	Король Віктор Миколайович
bp36	Паламарчук Микола Петрович
bp37	Іщенко Валерій Олександрович
bp38	Пацкан Валерій Васильович
bp39	Антонищак Андрій Федорович
bp4	Гройсман Володимир Борисович
bp40	Гончаренко Олексій Олексійович
bp41	Козаченко Леонід Петрович
bp42	Ткачук Геннадій Віталійович
bp43	Герасимов Артур Володимирович
bp44	Агафонова Наталія Володимирівна
bp45	Денисенко Вадим Ігорович
bp46	Тригубенко Сергій Миколайович
bp47	Бєлькова Ольга Валентинівна
bp48	Савченко Олексій Юрійович
bp49	Червакова Ольга Валеріївна
bp5	Джемілєв Мустафа
bp50	Кобцев Михайло Валентинович
bp51	Насіров Роман Михайлович
bp52	Загорій Гліб Володимирович
bp53	Гвоздьов Михайло Олексійович
bp54	Фірсов Єгор Павлович
bp55	Алєксєєв Сергій Олегович
bp56	Чепинога Віталій Михайлович
bp57	Бакуменко Олександр Борисович
bp58	Грановський Олександр Михайлович
bp59	Кубів Степан Іванович
bp6	Мамчур Юлій Валерійович
bp60	Мушак Олексій Петрович
bp61	Климпуш-Цинцадзе Іванна Орестівна
bp62	Брензович Василь Іванович
bp63	Кудлаєнко Сергій Володимирович
bp64	Матузко Олена Олександрівна
bp65	Барна Степан Степанович
bp66	Макар'ян Давид Борисович
bp67	Побер Ігор Миколайович
bp68	Куніцин Сергій Володимирович
bp69	Лесюк Ярослав Васильович
bp7	Матіос Марія Василівна
bp70	Луценко Ірина Степанівна
bp71	Чубаров Рефат Абдурахманович
bp72	Шверк Григорій Аронович
bp73	Севрюков Владислав Володимирович
bp75	Бригинець Олександр Михайлович
bp76	Білоцерковець Дмитро Олександрович
bp77	Карпунцов Валерій Віталійович
bp78	Велікін Олег Маркович
bp79	Саврасов Максим Віталійович
bp8	Томенко Микола Володимирович
bp80	Білозір Оксана Володимирівна
bp81	Буглак Юрій Олександрович
bp82	Зварич Роман Михайлович
bp86	Куренной Володимир Костянтинович
bp9	Геращенко Ірина Володимирівна
but1	Савченко Надія Вікторівна
but10	Жданов Ігор Олександрович
but11	Шлемко Дмитро Васильович
but12	Тарасюк Борис Іванович
but13	Кожем'якін Андрій Анатолійович
but14	Кириленко Іван Григорович
but15	Власенко Сергій Володимирович
but16	Кужель Олександра Володимирівна
but17	Абдуллін Олександр Рафкатович
but18	Кондратюк Олена Костянтинівна
but19	Дубіль Валерій Олександрович
but2	Тимошенко Юлія Володимирівна
but3	Луценко Ігор Вікторович
but4	Соболєв Сергій Владиславович
but5	Шкрум Альона Іванівна
but6	Івченко Вадим Євгенович
but7	Немиря Григорій Михайлович
but8	Крулько Іван Іванович
but9	Рябчин Олексій Михайлович
d100_1	Березкін Станіслав Семенович
d101_1	Поплавський Михайло Михайлович
d102_1	Довгий Олесь Станіславович
d103_1	Кузьменко Анатолій Іванович
d106_1	Бакулін Євген Миколайович
d107_1	Дунаєв Сергій Володимирович
d112_1	Іоффе Юлій Якович
d113_1	Курило Віталій Семенович
d114_1	Гарбуз Юрій Григорійович
d114_2	Шахов Сергій Володимирович
d115_1	Добродомов Дмитро Євгенович
d116_1	Подоляк Ірина Ігорівна
d117_1	Юринець Оксана Василівна
d118_1	Дубневич Богдан Васильович
d119_1	Бондар Михайло Леонтійович
d11_1	Домбровський Олександр Георгійович
d120_1	Дубневич Ярослав Васильович
d121_1	Матківський Богдан Миронович
d122_1	Парасюк Володимир Зіновійович
d123_1	Батенко Тарас Іванович
d124_1	Мусій Олег Степанович
d125_1	Лопушанський Андрій Ярославович
d126_1	Кіт Андрій Богданович
d127_1	Козир Борис Юрійович
d128_1	Ільюк Артем Олександрович
d129_1	Жолобецький Олександр Олександрович
d12_1	Порошенко Олексій Петрович
d130_1	Вадатурський Андрій Олексійович
d131_1	Лівік Олександр Петрович
d132_1	Корнацький Аркадій Олексійович
d133_1	Матвійчук Едуард Леонідович
d134_1	Чекіта Геннадій Леонідович
d135_1	Ківалов Сергій Васильович
d136_1	Голубов Дмитро Іванович
d137_1	Клімов Леонід Михайлович
d138_1	Фурсін Іван Геннадійович
d139_1	Пресман Олександр Семенович
d13_1	Юрчишин Петро Васильович
d140_1	Гуляєв Василь Олександрович
d141_1	Барвіненко Віталій Дмитрович
d142_1	Кіссе Антон Іванович
d143_1	Урбанський Олександр Ігорович
d144_1	Каплін Сергій Миколайович
d145_1	Бублик Юрій Васильович
d146_1	Шаповалов Юрій Анатолійович
d147_1	Кулініч Олег Іванович
d148_1	Іщейкін Костянтин Євгенович
d149_1	Река Андрій Олександрович
d14_1	Мельничук Іван Іванович
d150_1	Жеваго Костянтин Валентинович
d151_1	Кутовий Тарас Вікторович
d151_2	Богдан Руслан Дмитрович
d152_1	Осуховський Олег Іванович
d153_1	Вознюк Юрій Володимирович
d154_1	Дехтярчук Олександр Володимирович
d155_1	Яніцький Василь Петрович
d156_1	Євтушок Сергій Миколайович
d157_1	Медуниця Олег Вячеславович
d158_1	Сугоняко Олександр Леонідович
d159_1	Деркач Андрій Леонідович
d15_1	Спориш Іван Дмитрович
d160_1	Молоток Ігор Федорович
d161_1	Лаврик Микола Іванович
d162_1	Бухарєв Владислав Вікторович
d163_1	Пастух Тарас Тимофійович
d164_1	Головко Михайло Йосифович
d165_1	Юрик Тарас Зіновійович
d166_1	Люшняк Микола Володимирович
d167_1	Барна Олег Степанович
d168_1	Писаренко Валерій Володимирович
d169_1	Кірш Олександр Вікторович
d16_1	Македон Юрій Миколайович
d170_1	Святаш Дмитро Володимирович
d171_1	Хомутиннік Віталій Юрійович
d172_1	Мисик Володимир Юрійович
d173_1	Денисенко Анатолій Петрович
d174_1	Фельдман Олександр Борисович
d175_1	Кацуба Володимир Михайлович
d176_1	Шенцев Дмитро Олексійович
d177_1	Остапчук Віктор Миколайович
d178_1	Добкін Дмитро Маркович
d179_1	Гіршфельд Анатолій Мусійович
d17_1	Кучер Микола Іванович
d180_1	Біловол Олександр Миколайович
d181_1	Мураєв Євгеній Володимирович
d182_1	Співаковський Олександр Володимирович
d183_1	Гордєєв Андрій Анатолійович
d183_2	Одарченко Юрій Віталійович
d184_1	Вінник Іван Юлійович
d185_1	Хлань Сергій Володимирович
d186_1	Негой Федір Федорович
d187_1	Мельник Сергій Іванович
d188_1	Лабазюк Сергій Петрович
d189_1	Шинькович Андрій Васильович
d18_1	Демчак Руслан Євгенійович
d190_1	Мацола Роман Миколайович
d191_1	Бондар Віктор Васильович
d192_1	Герега Олександр Володимирович
d193_1	Мельниченко Володимир Володимирович
d194_1	Петренко Олег Миколайович
d195_1	Зубик Володимир Володимирович
d196_1	Бобов Геннадій Борисович
d197_1	Голуб Владислав Володимирович
d198_1	Рудик Сергій Ярославович
d199_1	Ничипоренко Валентин Миколайович
d19_1	Гузь Ігор Володимирович
d200_1	Яценко Антон Володимирович
d201_1	Федорук Микола Трохимович
d202_1	Рибак Іван Петрович
d203_1	Тіміш Григорій Іванович
d204_1	Бурбак Максим Юрійович
d205_1	Куліч Валерій Петрович
d205_2	Березенко Сергій Іванович
d206_1	Атрошенко Владислав Анатолійович
d206_2	Микитась Максим Вікторович
d207_1	Євлахов Анатолій Сергійович
d208_1	Давиденко Валерій Миколайович
d209_1	Кодола Олександр Михайлович
d20_1	Мартиняк Сергій Васильович
d210_1	Дмитренко Олег Миколайович
d211_1	Рибчинський Євген Юрійович
d212_1	Сташук Віталій Филимонович
d213_1	Береза Борислав Юхимович
d214_1	Чумак Віктор Васильович
d215_1	Іллєнко Андрій Юрійович
d216_1	Супруненко Олександр Іванович
