mp_id,full_name,post_name,unit_name,post_title
18089,Євлахов Анатолій Сергійович,Голова підкомітету Комітету Верховної Ради України,Підкомітет з питань оподаткування податком на додану вартість Комітету Верховної Ради України з питань податкової та митної політики,Голова підкомітету з питань оподаткування податком на додану вартість Комітету Верховної Ради України з питань податкової та митної політики
18089,Євлахов Анатолій Сергійович,Член депутатської фракції,"Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Державою Ізраїль,Член групи з міжпарламентських зв'язків з Державою Ізраїль
18089,Євлахов Анатолій Сергійович,Керівник групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Королівством Марокко,Керівник групи з міжпарламентських зв'язків з Королівством Марокко
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків з Азербайджанською Республікою,Член групи з міжпарламентських зв'язків з Азербайджанською Республікою
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Білорусь,Член групи з міжпарламентських зв'язків з Республікою Білорусь
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Литовською Республікою,Член групи з міжпарламентських зв'язків з Литовською Республікою
18089,Євлахов Анатолій Сергійович,Заступник керівника групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Узбекистан,Заступник керівника групи з міжпарламентських зв'язків з Республікою Узбекистан
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Китайською Народною Республікою,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
18089,Євлахов Анатолій Сергійович,Член групи з міжпарламентських зв'язків,Депутатська група Верховної Ради України з міжпарламентських зв'язків із Республікою Польща,Член групи з міжпарламентських зв'язків з Республікою Польща
11728,Євтушок Сергій Миколайович,Член депутатської фракції,"Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України","Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України"
