mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
18089,1,1,2,sct,kompmp13,Голова підкомітету з питань оподаткування податком на додану вартість Комітету Верховної Ради України з питань податкової та митної політики
18089,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
18089,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
18089,4,5,,mpg,MAR,Керівник групи з міжпарламентських зв'язків з Королівством Марокко
18089,3,6,,mpg,AZB,Член групи з міжпарламентських зв'язків з Азербайджанською Республікою
18089,3,7,,mpg,BLR,Член групи з міжпарламентських зв'язків з Республікою Білорусь
18089,3,8,,mpg,LTU,Член групи з міжпарламентських зв'язків з Литовською Республікою
18089,5,9,,mpg,UZB,Заступник керівника групи з міжпарламентських зв'язків з Республікою Узбекистан
18089,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
18089,3,11,,mpg,POL,Член групи з міжпарламентських зв'язків з Республікою Польща
11728,2,12,,fra,but,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України"
11728,6,13,,cmt,komtrans,Член Комітету Верховної Ради України з питань транспорту
11728,3,11,,mpg,POL,Член групи з міжпарламентських зв'язків з Республікою Польща
11728,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
11728,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
11728,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
11728,3,16,,mpg,SVK,Член групи з міжпарламентських зв'язків з Словацькою Республікою
11728,3,17,,mpg,GEO,Член групи з міжпарламентських зв'язків з Грузією
11728,3,18,,mpg,FRA,Член групи з міжпарламентських зв'язків з Французькою Республікою
19859,6,19,,cmt,komagropolit,Член Комітету Верховної Ради України з питань аграрної політики та земельних відносин
19859,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
19859,3,17,,mpg,GEO,Член групи з міжпарламентських зв'язків з Грузією
19859,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
19859,4,22,,mpg,TJK,Керівник групи з міжпарламентських зв'язків з Республікою Таджикистан
19859,3,23,,mpg,COL,Член групи з міжпарламентських зв'язків з Республікою Колумбія
19859,3,24,,mpg,ISL,Член групи з міжпарламентських зв'язків з Республікою Ісландія
19859,3,25,,mpg,ETH,Член групи з міжпарламентських зв'язків з Федеративною Демократичною Республікою Ефіопія
19859,3,26,,mpg,EGY,Член групи з міжпарламентських зв'язків з Арабською Республікою Єгипет
19859,5,27,,mpg,ZAF,Заступник керівника групи з міжпарламентських зв'язків з Південно-Африканською Республікою
18016,7,28,,tcs,tinvest38,Член тимчасової слідчої комісії Верховної Ради України для проведення розслідування відомостей щодо нападів на Катерину Гандзюк та інших громадських активістів
18016,8,29,,cmt,komekolog,"Секретар Комітету Верховної Ради України з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи"
18016,3,30,,mpg,EST,Член групи з міжпарламентських зв'язків з Естонською Республікою
18016,3,23,,mpg,COL,Член групи з міжпарламентських зв'язків з Республікою Колумбія
18016,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
18016,3,31,,mpg,THA,Член групи з міжпарламентських зв'язків з Королівством Таїланд
18016,3,32,,mpg,ESP,Член групи з міжпарламентських зв'язків з Королівством Іспанія
18016,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
17959,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
17959,9,33,34,sct,kompkd11,"Заступник голови Комітету, голова підкомітету з питань державної політики у сфері свободи совісті та релігійних організацій Комітету Верховної Ради України з питань культури і духовності"
17959,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
17959,5,35,,mpg,TKM,Заступник керівника групи з міжпарламентських зв'язків з Туркменістаном
17959,3,36,,mpg,BEL,Член групи з міжпарламентських зв'язків з Королівством Бельгія
17959,3,37,,mpg,NLD,Член групи з міжпарламентських зв'язків з Королівством Нідерландів
17959,10,38,,mpd,PA_BSEC,Член Постійної делегації у Парламентській асамблеї Організації Чорноморського економічного співробітництва
17959,3,39,,mpg,IRL,Член групи з міжпарламентських зв'язків з Ірландією
4761,11,40,,tcs,tspec13,Голова тимчасової спеціальної комісії Верховної Ради України з питань перевірки фактів порушень під час проведення повторного голосування на виборах Криворізького міського голови 15 листопада 2015 року
4761,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
4761,12,41,,cmt,kompravpol,Перший заступник голови Комітету Верховної Ради України з питань правової політики та правосуддя
4761,10,42,,mpd,PACE,Член Постійної делегації у Парламентській асамблеї Ради Європи
4761,3,43,,mpg,LVA,Член групи з міжпарламентських зв'язків з Латвійською Республікою
4761,3,44,,mpg,TUR,Член групи з міжпарламентських зв'язків з Турецькою Республікою
4761,13,14,,mpg,USA,Заступник співголови групи з міжпарламентських зв'язків з Сполученими Штатами Америки
